Index,Substrate,Photocatalyst,Organocatalyst,File name,AR,ee (IM-MS),,
95,S1,P9,L7,S1-P9-L7,0.31 ,-14.69%,,
96,S1,P9,L8,S1-P9-L8,0.16 ,-5.74%,,
97,S1,P9,L9,S1-P9-L9,0.20 ,-19.01%,,
98,S1,P9,L10,S1-P9-L10,0.54 ,-59.85%,,
99,S1,P9,L11,S1-P9-L11,0.17 ,0.84%,,
100,S1,P10,L1,S1-P10-L1,0.06 ,1.62%,,
101,S1,P10,L2,S1-P10-L2,0.14 ,53.45%,,
102,S1,P10,L3,S1-P10-L3,0.08 ,60.79%,,
103,S1,P10,L4,S1-P10-L4,0.11 ,-54.01%,,
104,S1,P10,L5,S1-P10-L5,0.08 ,-4.09%,,
105,S1,P10,L6,S1-P10-L6,0.05 ,38.84%,,
106,S1,P10,L7,S1-P10-L7,0.12 ,-4.03%,,
107,S1,P10,L8,S1-P10-L8,0.04 ,-1.91%,,
108,S1,P10,L9,S1-P10-L9,0.10 ,-9.78%,,
109,S1,P10,L10,S1-P10-L10,0.20 ,-64.69%,,
110,S1,P10,L11,S1-P10-L11,0.08 ,1.25%,,
111,S1,P11,L1,S1-P11-L1,0.04 ,1.67%,,
112,S1,P11,L2,S1-P11-L2,0.17 ,51.08%,,
113,S1,P11,L3,S1-P11-L3,0.12 ,80.36%,,
114,S1,P11,L4,S1-P11-L4,0.30 ,-64.28%,,
115,S1,P11,L5,S1-P11-L5,0.14 ,-2.94%,,
116,S1,P11,L6,S1-P11-L6,0.07 ,52.05%,,
117,S1,P11,L7,S1-P11-L7,0.20 ,-12.31%,,
118,S1,P11,L8,S1-P11-L8,0.09 ,-12.30%,,
119,S1,P11,L9,S1-P11-L9,0.10 ,-22.30%,,
120,S1,P11,L10,S1-P11-L10,0.36 ,-67.56%,,
121,S1,P11,L11,S1-P11-L11,0.08 ,-7.13%,,
122,S1,P12,L1,S1-P12-L1,0.04 ,0.47%,,
123,S1,P12,L2,S1-P12-L2,0.27 ,49.54%,,
124,S1,P12,L3,S1-P12-L3,0.12 ,84.51%,,
125,S1,P12,L4,S1-P12-L4,0.60 ,-62.10%,,
126,S1,P12,L5,S1-P12-L5,0.15 ,-10.33%,,
127,S1,P12,L6,S1-P12-L6,0.06 ,47.57%,,
128,S1,P12,L7,S1-P12-L7,0.20 ,-12.27%,,
129,S1,P12,L8,S1-P12-L8,0.08 ,-10.13%,,
130,S1,P12,L9,S1-P12-L9,0.15 ,-22.13%,,
131,S1,P12,L10,S1-P12-L10,0.31 ,-66.33%,,
132,S1,P12,L11,S1-P12-L11,0.09 ,-2.66%,,
133,S1,P13,L1,S1-P13-L1,0.02 ,-0.28%,,
134,S1,P13,L2,S1-P13-L2,0.05 ,47.62%,,
135,S1,P13,L3,S1-P13-L3,0.05 ,72.82%,,
136,S1,P13,L4,S1-P13-L4,0.14 ,-63.39%,,
137,S1,P13,L5,S1-P13-L5,0.06 ,-3.38%,,
138,S1,P13,L6,S1-P13-L6,0.06 ,44.05%,,
139,S1,P13,L7,S1-P13-L7,0.07 ,-8.83%,,
140,S1,P13,L8,S1-P13-L8,0.04 ,-7.16%,,
141,S1,P13,L9,S1-P13-L9,0.04 ,-15.81%,,
142,S1,P13,L10,S1-P13-L10,0.14 ,-67.43%,,
143,S1,P13,L11,S1-P13-L11,0.04 ,-1.94%,,
144,S2,P1,L1,S2-P1-L1,0.10 ,2.24%,,
145,S2,P1,L2,S2-P1-L2,0.75 ,55.00%,,
146,S2,P1,L3,S2-P1-L3,0.60 ,87.43%,,
147,S2,P1,L4,S2-P1-L4,1.92 ,-62.76%,,
148,S2,P1,L5,S2-P1-L5,0.73 ,-5.13%,,
149,S2,P1,L6,S2-P1-L6,0.12 ,60.88%,,
150,S2,P1,L7,S2-P1-L7,0.65 ,-1.84%,,
151,S2,P1,L8,S2-P1-L8,0.25 ,-14.51%,,
152,S2,P1,L9,S2-P1-L9,0.44 ,-12.79%,,
153,S2,P1,L10,S2-P1-L10,0.67 ,-37.28%,,
154,S2,P1,L11,S2-P1-L11,0.06 ,3.89%,,
155,S2,P2,L1,S2-P2-L1,0.10 ,4.84%,,
156,S2,P2,L2,S2-P2-L2,0.64 ,53.17%,,
157,S2,P2,L3,S2-P2-L3,0.31 ,90.45%,,
158,S2,P2,L4,S2-P2-L4,1.25 ,-65.11%,,
159,S2,P2,L5,S2-P2-L5,0.43 ,-3.95%,,
160,S2,P2,L6,S2-P2-L6,0.11 ,65.30%,,
161,S2,P2,L7,S2-P2-L7,0.28 ,-18.71%,,
162,S2,P2,L8,S2-P2-L8,0.24 ,-8.40%,,
163,S2,P2,L9,S2-P2-L9,0.32 ,-29.73%,,
164,S2,P2,L10,S2-P2-L10,0.32 ,-44.42%,,
165,S2,P2,L11,S2-P2-L11,0.14 ,1.05%,,
166,S2,P3,L1,S2-P3-L1,0.07 ,6.35%,,
167,S2,P3,L2,S2-P3-L2,0.30 ,58.47%,,
168,S2,P3,L3,S2-P3-L3,0.23 ,87.40%,,
169,S2,P3,L4,S2-P3-L4,0.93 ,-74.58%,,
170,S2,P3,L5,S2-P3-L5,0.42 ,-7.55%,,
171,S2,P3,L6,S2-P3-L6,0.12 ,63.92%,,
172,S2,P3,L7,S2-P3-L7,0.41 ,-24.50%,,
173,S2,P3,L8,S2-P3-L8,0.22 ,-13.61%,,
174,S2,P3,L9,S2-P3-L9,0.39 ,-36.33%,,
175,S2,P3,L10,S2-P3-L10,0.30 ,-51.88%,,
176,S2,P3,L11,S2-P3-L11,0.06 ,-5.50%,,
177,S2,P4,L1,S2-P4-L1,0.36 ,-1.07%,,
178,S2,P4,L2,S2-P4-L2,1.76 ,45.81%,,
179,S2,P4,L3,S2-P4-L3,0.52 ,58.75%,,
180,S2,P4,L4,S2-P4-L4,3.68 ,-66.13%,,
181,S2,P4,L5,S2-P4-L5,1.86 ,-6.53%,,
182,S2,P4,L6,S2-P4-L6,0.21 ,14.16%,,
183,S2,P4,L7,S2-P4-L7,1.97 ,-18.38%,,
184,S2,P4,L8,S2-P4-L8,0.65 ,-9.23%,,
185,S2,P4,L9,S2-P4-L9,1.73 ,-29.21%,,
186,S2,P4,L10,S2-P4-L10,1.06 ,-49.26%,,
187,S2,P4,L11,S2-P4-L11,0.43 ,-5.98%,,
188,S2,P5,L1,S2-P5-L1,0.76 ,-0.76%,,
189,S2,P5,L2,S2-P5-L2,3.65 ,41.73%,,
190,S2,P5,L3,S2-P5-L3,0.68 ,49.31%,,
191,S2,P5,L4,S2-P5-L4,3.73 ,-60.60%,,
192,S2,P5,L5,S2-P5-L5,2.41 ,-5.78%,,
193,S2,P5,L6,S2-P5-L6,0.24 ,5.48%,,
194,S2,P5,L7,S2-P5-L7,2.35 ,-16.27%,,
195,S2,P5,L8,S2-P5-L8,1.00 ,-8.57%,,
196,S2,P5,L9,S2-P5-L9,1.96 ,-31.38%,,
197,S2,P5,L10,S2-P5-L10,0.83 ,-36.37%,,
198,S2,P5,L11,S2-P5-L11,0.38 ,-5.05%,,
199,S2,P6,L1,S2-P6-L1,0.76 ,0.86%,,
200,S2,P6,L2,S2-P6-L2,3.16 ,40.33%,,
201,S2,P6,L3,S2-P6-L3,0.85 ,50.38%,,
202,S2,P6,L4,S2-P6-L4,4.56 ,-58.28%,,
203,S2,P6,L5,S2-P6-L5,2.91 ,-8.58%,,
204,S2,P6,L6,S2-P6-L6,0.27 ,3.05%,,
205,S2,P6,L7,S2-P6-L7,3.10 ,-17.12%,,
206,S2,P6,L8,S2-P6-L8,1.18 ,-8.30%,,
207,S2,P6,L9,S2-P6-L9,1.92 ,-27.08%,,
208,S2,P6,L10,S2-P6-L10,1.22 ,-37.33%,,
209,S2,P6,L11,S2-P6-L11,0.40 ,-5.59%,,
210,S2,P7,L1,S2-P7-L1,0.11 ,-1.75%,,
211,S2,P7,L2,S2-P7-L2,1.23 ,47.07%,,
212,S2,P7,L3,S2-P7-L3,0.41 ,46.20%,,
213,S2,P7,L4,S2-P7-L4,0.84 ,-55.64%,,
214,S2,P7,L5,S2-P7-L5,0.36 ,-9.40%,,
215,S2,P7,L6,S2-P7-L6,0.15 ,10.72%,,
216,S2,P7,L7,S2-P7-L7,0.48 ,-13.49%,,
217,S2,P7,L8,S2-P7-L8,0.16 ,-10.64%,,
218,S2,P7,L9,S2-P7-L9,0.35 ,-30.71%,,
219,S2,P7,L10,S2-P7-L10,1.36 ,-68.35%,,
220,S2,P7,L11,S2-P7-L11,0.05 ,-15.88%,,
221,S2,P8,L1,S2-P8-L1,0.25 ,-1.50%,,
222,S2,P8,L2,S2-P8-L2,2.10 ,44.17%,,
223,S2,P8,L3,S2-P8-L3,0.25 ,53.83%,,
224,S2,P8,L4,S2-P8-L4,1.03 ,-56.32%,,
225,S2,P8,L5,S2-P8-L5,0.79 ,-7.77%,,
226,S2,P8,L6,S2-P8-L6,0.18 ,14.78%,,
227,S2,P8,L7,S2-P8-L7,0.44 ,-18.08%,,
228,S2,P8,L8,S2-P8-L8,0.22 ,-11.82%,,
229,S2,P8,L9,S2-P8-L9,0.54 ,-31.97%,,
230,S2,P8,L10,S2-P8-L10,0.54 ,-58.79%,,
231,S2,P8,L11,S2-P8-L11,0.13 ,-5.69%,,
